text,Username,Timestamp
"RT @DASimmigration: Unfortunately, Biden administration takes the same position as Trump administration on immigration. Diversity Visa immi…",NabarajBagale2,Wed Jun 23 09:38:27 +0000 2021
@SpiroAgnewGhost @UROCKlive1 A Smarter liar than Trump—-yet they [Stone and Trump] still continually battle for top… https://t.co/3UJ13Fn4Jd,RachelBaer12,Wed Jun 23 09:38:27 +0000 2021
trump sell weed too now .....thats y .....he .....did what he did ...TO SELL DRUGS https://t.co/cKEwucQmNX,DIDDYPAYUP,Wed Jun 23 09:38:28 +0000 2021
@BetteMidler Where's your proof? Were you there? Did #Trump tell you? Or is this you just spreading hate.,LoriRennie,Wed Jun 23 09:38:29 +0000 2021
RT @PalmerReport: “But judges!” Biden is already on track to nominate more federal judges than Trump did. Look it up.,JohnABusinger,Wed Jun 23 09:38:29 +0000 2021
"RT @DonaldJTrumpJr: Looking forward to seeing all my friends in Alabama for the Tennessee Valley Hunting and Fishing Expo on July 10. 

Don…",HawleysJadefav,Wed Jun 23 09:38:31 +0000 2021
"RT @DonaldJTrumpJr: 🚨🚨🚨

Any school district that promotes racist Critical Race Theory and woke ideology should lose their taxpayer funding…",scottefc,Wed Jun 23 09:38:31 +0000 2021
"RT @PeterKiefor: Trump’s daughter and Joe Biden’s granddaughter just hanging in the Hamptons

It’s a big club and you ain’t in it https://t…",DanmanEllen,Wed Jun 23 09:38:32 +0000 2021
"RT @aryaryacinan07: わざわざ🚗 1時間？かけて統一教会主催らしき福岡TRUMPトンデモデモに駆け付け参加した、スピチカルトおばさんも反ワクチン。どこ国の人よ。

https://t.co/GFfSGwPkYf https://t.co/R4xo7rWvYf…",wns1ca2,Wed Jun 23 09:38:33 +0000 2021
"@Cernovich So you wanted Trump to order our military into NYC to crush his opposition,like …..Hitler?",dr_jiden,Wed Jun 23 09:38:33 +0000 2021
"The enemy-within do not always win. They failed to stop Trump being elected 5yrs ago, they nearly failed this time,… https://t.co/Z1T42SP27k",pterodactyl1984,Wed Jun 23 09:38:34 +0000 2021
"RT @Sbh08Mae: Gov Whitmer has grit; she doesn’t backdown from her beliefs or shy away from a fight

@GovWhitmer stood up to Trump &amp; won

Re…",schatsilove,Wed Jun 23 09:38:34 +0000 2021
"RT @duty2warn: Restating for clarity ... Donald Trump is a criminal, gangster, and fraud. Mike Flynn is a traitor. Mike Pence is pathetic.…",devilsporkchop,Wed Jun 23 09:38:34 +0000 2021
HEALED THE DAILY  BEAST MODE TOP 10 6/23/21 TRUMP STYLE REMIX.  https://t.co/SQiGvRsCiP,cynthia_beast,Wed Jun 23 09:38:36 +0000 2021
RT @clearing_fog: “Dark money groups tied to … Trump’s inner circle and backed by people who spread baseless claims about the 2020 presiden…,NiagaraJAZ,Wed Jun 23 09:38:36 +0000 2021
@Broken_Politiks @GrieverZER0 @JDoe1230 @drumlakeschool @BBCWorld Trump ended it. Biden undid Trump's policies and this is the effect,lordofempathy,Wed Jun 23 09:38:37 +0000 2021
"RT @WOLFwisdom58: Merick Garland gets timid about initiating an investigation into Trump’s politicization of DOJ
#ONEV1 z29
#DemVoice1",BKPR701,Wed Jun 23 09:38:38 +0000 2021
